Day,High,Low,Precip
4/1/17,69.1,51.1,0
4/2/17,73,55,0
4/3/17,64.9,54,0
4/4/17,68,55.9,0
4/5/17,81,55,0
4/6/17,73.9,55,0
4/7/17,66.9,54,0
4/8/17,64.9,54,0.2
4/9/17,68,51.1,0
4/10/17,75,54,0
4/11/17,73,52,0
4/12/17,69.1,53.1,0
4/13/17,66,53.1,0
4/14/17,66,55,0
4/15/17,70,52,0
4/16/17,70,54,0
4/17/17,71.1,53.1,0
4/18/17,73.9,57.9,0
4/19/17,68,57.9,0
4/20/17,81,55.9,0
4/21/17,84,59,0
4/22/17,86,61,0
4/23/17,80.1,57.9,0
4/24/17,71.1,55,0
4/25/17,73.9,57.9,0
4/26/17,77,57.9,0
4/27/17,81,57.9,0
4/28/17,81,66,0
4/29/17,79,66,0
4/30/17,81,60.1,0
5/1/17,78.1,57.9,0
5/2/17,81,59,0
5/3/17,75,59,0
5/4/17,73.9,57,0
5/5/17,66.9,57,0
5/6/17,63,57.9,0
5/7/17,63,48.9,0.14
5/8/17,64.9,48,0.01
5/9/17,66.9,54,0
5/10/17,66.9,59,0
5/11/17,66.9,55,0
5/12/17,66.9,55.9,0
5/13/17,70,55,0
5/14/17,66.9,53.1,0
5/15/17,64,54,0
5/16/17,64.9,52,0
5/17/17,64.9,54,0
5/18/17,68,53.1,0
5/19/17,80.1,57.9,0
5/20/17,89.1,64,0
5/21/17,86,63,0
5/22/17,73,57,0
5/23/17,75,57,0
5/24/17,70,55.9,0
5/25/17,64.9,57,0
5/26/17,68,59,0
5/27/17,66.9,55,0
5/28/17,70,55.9,0
5/29/17,69.1,57,0
5/30/17,68,57.9,0
5/31/17,64.9,59,0
6/1/17,69.1,60.1,0
6/2/17,70,59,0
6/3/17,73,61,0
6/4/17,70,60.1,0
6/5/17,70,60.1,0
6/6/17,68,61,0
6/7/17,68,60.1,0.03
6/8/17,66.9,60.1,0.03
6/9/17,71.1,57,0
6/10/17,70,60.1,0
6/11/17,68,60.1,0
6/12/17,69.1,55.9,0
6/13/17,73,57,0
6/14/17,78.1,59,0
6/15/17,78.1,61,0
6/16/17,80.1,63,0
6/17/17,78.1,62.1,0
6/18/17,77,59,0
6/19/17,80.1,62.1,0
6/20/17,77,60.1,0
6/21/17,78.1,61,0
