Date,mean,lower,upper,holiady
04/01/2017,1615,1354,1926,0
04/02/2017,1508,1275,1783,0
04/03/2017,1983,1507,2609,0
04/04/2017,1974,1418,2747,0
04/05/2017,2213,1562,3134,0
04/06/2017,2314,1869,2864,0
04/07/2017,1999,1568,2549,0
04/08/2017,1555,1252,1930,0
04/09/2017,1408,1148,1727,0
04/10/2017,,,,0
04/11/2017,1830,1455,2300,0
04/12/2017,1901,1357,2664,0
04/13/2017,1681,1294,2183,0
04/14/2017,1851,1457,2350,0
04/15/2017,1447,1206,1735,0
04/16/2017,1443,1175,1772,0
04/17/2017,2020,1593,2561,0
04/18/2017,1987,1496,2638,0
04/19/2017,1800,1505,2153,0
04/20/2017,2134,1595,2855,0
04/21/2017,1795,1277,2523,0
04/22/2017,1617,1327,1970,0
04/23/2017,1548,1224,1959,0
04/24/2017,2320,1688,3190,0
04/25/2017,1813,1400,2347,0
04/26/2017,2039,1497,2776,0
04/27/2017,1841,1425,2379,0
04/28/2017,1901,1486,2433,0
04/29/2017,1617,1215,2151,0
04/30/2017,1460,1227,1737,0
05/01/2017,2156,1517,3063,0
05/02/2017,1964,1618,2385,0
05/03/2017,2035,1435,2885,0
05/04/2017,2076,1505,2865,0
05/05/2017,1868,1402,2489,0
05/06/2017,1546,1306,1830,0
05/07/2017,1491,1219,1825,0
05/08/2017,1993,1470,2701,0
05/09/2017,1973,1459,2668,0
05/10/2017,1941,1343,2806,0
05/11/2017,1914,1492,2456,0
05/12/2017,1837,1394,2420,0
05/13/2017,1552,1246,1933,0
05/14/2017,1473,1264,1716,0
05/15/2017,1936,1586,2362,0
05/16/2017,1866,1337,2604,0
05/17/2017,1897,1328,2709,0
05/18/2017,1805,1385,2351,0
05/19/2017,2213,1602,3058,0
05/20/2017,1561,1186,2054,0
05/21/2017,1663,1296,2136,0
05/22/2017,2104,1499,2953,0
05/23/2017,2227,1622,3058,0
05/24/2017,1821,1442,2298,0
05/25/2017,2053,1463,2881,0
05/26/2017,1828,1316,2539,0
05/27/2017,1443,1182,1763,0
05/28/2017,1430,1106,1849,0
05/29/2017,1486,1211,1825,0
05/30/2017,1840,1373,2466,0
05/31/2017,1558,1291,1879,0
06/01/2017,2011,1569,2578,0
06/02/2017,1997,1436,2778,0
06/03/2017,1749,1452,2108,0
06/04/2017,1648,1288,2109,0
06/05/2017,1903,1636,2212,0
06/06/2017,2157,1459,3188,0
06/07/2017,1746,1322,2306,0
06/08/2017,1960,1312,2929,0
06/09/2017,1958,1600,2397,0
06/10/2017,1555,1293,1871,0
06/11/2017,1808,1345,2429,0
06/12/2017,1871,1481,2362,0
06/13/2017,1975,1517,2571,0
06/14/2017,1757,1268,2437,0
06/15/2017,1741,1228,2467,0
06/16/2017,1914,1368,2678,0
06/17/2017,1365,1171,1590,0
06/18/2017,1544,1228,1942,0
06/19/2017,1908,1426,2552,0
06/20/2017,1911,1329,2748,0
06/21/2017,1619,1185,2212,0
06/22/2017,1793,1399,2299,0
06/23/2017,1637,1327,2019,0
06/24/2017,1504,1181,1916,0
06/25/2017,1501,1214,1855,0
06/26/2017,2173,1700,2777,0
06/27/2017,1821,1282,2586,0
06/28/2017,1748,1337,2285,0
06/29/2017,1856,1462,2354,0
06/30/2017,1753,1382,2223,0
07/01/2017,1658,1356,2027,0
07/02/2017,1584,1221,2054,0
07/03/2017,1586,1248,2015,0
07/04/2017,1412,1260,1581,1
07/05/2017,1883,1615,2195,0
07/06/2017,2059,1574,2692,0
07/07/2017,1775,1354,2327,0
07/08/2017,1515,1265,1813,0
07/09/2017,1681,1348,2096,0
07/10/2017,1623,1337,1969,0
07/11/2017,2552,1615,4032,0
07/12/2017,2148,1502,3070,0
07/13/2017,2094,1534,2857,0
07/14/2017,1562,1205,2026,0
07/15/2017,1611,1270,2044,0
07/16/2017,1708,1351,2159,0
07/17/2017,1989,1493,2651,0
07/18/2017,,,,0
07/19/2017,1526,1247,1867,0
07/20/2017,1801,1421,2282,0
07/21/2017,1743,1339,2268,0
07/22/2017,1898,1444,2494,0
07/23/2017,1515,1278,1796,0
07/24/2017,1954,1499,2546,0
07/25/2017,,,,0
07/26/2017,1582,1317,1901,0
07/27/2017,1838,1493,2264,0
07/28/2017,1706,1251,2327,0
07/29/2017,1607,1295,1995,0
07/30/2017,1493,1233,1809,0
07/31/2017,2007,1531,2631,0
08/01/2017,1595,1311,1940,0
08/02/2017,1796,1384,2330,0
08/03/2017,1944,1430,2641,0
08/04/2017,1675,1332,2106,0
08/05/2017,1615,1345,1938,0
08/06/2017,1571,1294,1906,0
08/07/2017,1926,1683,2203,0
08/08/2017,1712,1174,2495,0
08/09/2017,1759,1364,2268,0
08/10/2017,1771,1411,2223,0
08/11/2017,1611,1250,2078,0
08/12/2017,1612,1292,2013,0
08/13/2017,1489,1256,1765,0
08/14/2017,1781,1487,2133,0
08/15/2017,1917,1419,2590,0
08/16/2017,1920,1525,2416,0
08/17/2017,1859,1412,2447,0
08/18/2017,1732,1383,2169,0
08/19/2017,1542,1271,1871,0
08/20/2017,1810,1400,2339,0
08/21/2017,1905,1464,2479,0
08/22/2017,1793,1472,2183,0
08/23/2017,1740,1365,2218,0
08/24/2017,2086,1535,2835,0
08/25/2017,1544,1356,1759,0
08/26/2017,1495,1309,1709,0
08/27/2017,1655,1311,2089,0
08/28/2017,1637,1278,2098,0
08/29/2017,2338,1719,3179,0
08/30/2017,1821,1488,2228,0
08/31/2017,2071,1542,2782,0
09/01/2017,1796,1383,2331,0
09/02/2017,1667,1306,2128,0
09/03/2017,1532,1281,1833,1
09/04/2017,1902,1376,2629,0
09/05/2017,1948,1445,2627,0
09/06/2017,1768,1390,2248,0
09/07/2017,1731,1461,2050,0
09/08/2017,1781,1279,2480,0
09/09/2017,1456,1162,1825,0
09/10/2017,1642,1351,1996,0
09/11/2017,2206,1746,2787,0
09/12/2017,1804,1263,2578,0
09/13/2017,2033,1678,2463,0
09/14/2017,2038,1523,2728,0
09/15/2017,1880,1376,2570,0
09/16/2017,1673,1261,2219,0
09/17/2017,1590,1285,1969,0
09/18/2017,1966,1593,2426,0
09/19/2017,1824,1356,2455,0
09/20/2017,1779,1410,2245,0
09/21/2017,1673,1315,2127,0
09/22/2017,,,,0
09/23/2017,1583,1302,1925,0
09/24/2017,1538,1207,1959,0
09/25/2017,1868,1473,2369,0
09/26/2017,2038,1491,2785,0
09/27/2017,2440,1940,3068,0
09/28/2017,,,,0
09/29/2017,1911,1376,2653,0
09/30/2017,1550,1232,1949,0
10/01/2017,1649,1341,2027,0
10/02/2017,1943,1466,2575,0
10/03/2017,,,,0
10/04/2017,2261,1595,3205,0
